# Region type : patch air_to_sphere
# Faces       : 1536
# Area        : 2.817604e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(heatTransferCoeff(T))	areaAverage(T)
0.5           	-1.655596e+01	4.998548e+02
1             	-1.813630e+01	4.997585e+02
1.5           	-1.817802e+01	4.996570e+02
2             	-1.814833e+01	4.995576e+02
2.5           	-1.818515e+01	4.994578e+02
3             	-1.819867e+01	4.993580e+02
3.5           	-1.819505e+01	4.992582e+02
4             	-1.819132e+01	4.991585e+02
4.5           	-1.818673e+01	4.990588e+02
5             	-1.818059e+01	4.989593e+02
5.5           	-1.817200e+01	4.988598e+02
6             	-1.816102e+01	4.987605e+02
6.5           	-1.814769e+01	4.986612e+02
7             	-1.813278e+01	4.985621e+02
7.5           	-1.811859e+01	4.984631e+02
8             	-1.810814e+01	4.983642e+02
8.5           	-1.810351e+01	4.982654e+02
9             	-1.810471e+01	4.981667e+02
9.5           	-1.811000e+01	4.980680e+02
10            	-1.811824e+01	4.979692e+02
