# Wall heat-flux
# Time        	patch         	min           	max           	integral      
0.5           	maxY	0.000000e+00	0.000000e+00	0.000000e+00
0.5           	minX	0.000000e+00	0.000000e+00	0.000000e+00
0.5           	maxX	0.000000e+00	0.000000e+00	0.000000e+00
0.5           	minY	0.000000e+00	0.000000e+00	0.000000e+00
0.5           	minZ	0.000000e+00	0.000000e+00	0.000000e+00
0.5           	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
0.5           	air_to_sphere	1.535284e+03	4.282532e+03	9.322805e+00
1             	maxY	0.000000e+00	0.000000e+00	0.000000e+00
1             	minX	0.000000e+00	0.000000e+00	0.000000e+00
1             	maxX	0.000000e+00	0.000000e+00	0.000000e+00
1             	minY	0.000000e+00	0.000000e+00	0.000000e+00
1             	minZ	0.000000e+00	0.000000e+00	0.000000e+00
1             	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
1             	air_to_sphere	9.315049e+02	5.025972e+03	1.020774e+01
1.5           	maxY	0.000000e+00	0.000000e+00	0.000000e+00
1.5           	minX	0.000000e+00	0.000000e+00	0.000000e+00
1.5           	maxX	0.000000e+00	0.000000e+00	0.000000e+00
1.5           	minY	0.000000e+00	0.000000e+00	0.000000e+00
1.5           	minZ	0.000000e+00	0.000000e+00	0.000000e+00
1.5           	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
1.5           	air_to_sphere	1.183584e+03	4.905907e+03	1.022603e+01
2             	maxY	0.000000e+00	0.000000e+00	0.000000e+00
2             	minX	0.000000e+00	0.000000e+00	0.000000e+00
2             	maxX	0.000000e+00	0.000000e+00	0.000000e+00
2             	minY	0.000000e+00	0.000000e+00	0.000000e+00
2             	minZ	0.000000e+00	0.000000e+00	0.000000e+00
2             	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
2             	air_to_sphere	1.087576e+03	4.929974e+03	1.020424e+01
2.5           	maxY	0.000000e+00	0.000000e+00	0.000000e+00
2.5           	minX	0.000000e+00	0.000000e+00	0.000000e+00
2.5           	maxX	0.000000e+00	0.000000e+00	0.000000e+00
2.5           	minY	0.000000e+00	0.000000e+00	0.000000e+00
2.5           	minZ	0.000000e+00	0.000000e+00	0.000000e+00
2.5           	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
2.5           	air_to_sphere	1.108839e+03	4.936083e+03	1.021983e+01
3             	maxY	0.000000e+00	0.000000e+00	0.000000e+00
3             	minX	0.000000e+00	0.000000e+00	0.000000e+00
3             	maxX	0.000000e+00	0.000000e+00	0.000000e+00
3             	minY	0.000000e+00	0.000000e+00	0.000000e+00
3             	minZ	0.000000e+00	0.000000e+00	0.000000e+00
3             	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
3             	air_to_sphere	1.107316e+03	4.940060e+03	1.022230e+01
3.5           	maxY	0.000000e+00	0.000000e+00	0.000000e+00
3.5           	minX	0.000000e+00	0.000000e+00	0.000000e+00
3.5           	maxX	0.000000e+00	0.000000e+00	0.000000e+00
3.5           	minY	0.000000e+00	0.000000e+00	0.000000e+00
3.5           	minZ	0.000000e+00	0.000000e+00	0.000000e+00
3.5           	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
3.5           	air_to_sphere	1.106611e+03	4.936081e+03	1.021516e+01
4             	maxY	0.000000e+00	0.000000e+00	0.000000e+00
4             	minX	0.000000e+00	0.000000e+00	0.000000e+00
4             	maxX	0.000000e+00	0.000000e+00	0.000000e+00
4             	minY	0.000000e+00	0.000000e+00	0.000000e+00
4             	minZ	0.000000e+00	0.000000e+00	0.000000e+00
4             	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
4             	air_to_sphere	1.105694e+03	4.932089e+03	1.020795e+01
4.5           	maxY	0.000000e+00	0.000000e+00	0.000000e+00
4.5           	minX	0.000000e+00	0.000000e+00	0.000000e+00
4.5           	maxX	0.000000e+00	0.000000e+00	0.000000e+00
4.5           	minY	0.000000e+00	0.000000e+00	0.000000e+00
4.5           	minZ	0.000000e+00	0.000000e+00	0.000000e+00
4.5           	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
4.5           	air_to_sphere	1.104782e+03	4.927912e+03	1.020027e+01
5             	maxY	0.000000e+00	0.000000e+00	0.000000e+00
5             	minX	0.000000e+00	0.000000e+00	0.000000e+00
5             	maxX	0.000000e+00	0.000000e+00	0.000000e+00
5             	minY	0.000000e+00	0.000000e+00	0.000000e+00
5             	minZ	0.000000e+00	0.000000e+00	0.000000e+00
5             	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
5             	air_to_sphere	1.103879e+03	4.923081e+03	1.019173e+01
5.5           	maxY	0.000000e+00	0.000000e+00	0.000000e+00
5.5           	minX	0.000000e+00	0.000000e+00	0.000000e+00
5.5           	maxX	0.000000e+00	0.000000e+00	0.000000e+00
5.5           	minY	0.000000e+00	0.000000e+00	0.000000e+00
5.5           	minZ	0.000000e+00	0.000000e+00	0.000000e+00
5.5           	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
5.5           	air_to_sphere	1.102893e+03	4.917243e+03	1.018182e+01
6             	maxY	0.000000e+00	0.000000e+00	0.000000e+00
6             	minX	0.000000e+00	0.000000e+00	0.000000e+00
6             	maxX	0.000000e+00	0.000000e+00	0.000000e+00
6             	minY	0.000000e+00	0.000000e+00	0.000000e+00
6             	minZ	0.000000e+00	0.000000e+00	0.000000e+00
6             	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
6             	air_to_sphere	1.101860e+03	4.910449e+03	1.017059e+01
6.5           	maxY	0.000000e+00	0.000000e+00	0.000000e+00
6.5           	minX	0.000000e+00	0.000000e+00	0.000000e+00
6.5           	maxX	0.000000e+00	0.000000e+00	0.000000e+00
6.5           	minY	0.000000e+00	0.000000e+00	0.000000e+00
6.5           	minZ	0.000000e+00	0.000000e+00	0.000000e+00
6.5           	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
6.5           	air_to_sphere	1.100790e+03	4.902708e+03	1.015804e+01
