# Region type : patch air_to_sphere
# Faces       : 10824
# Area        : 2.829884e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(heatTransferCoeff(T))	areaAverage(T)
1             	-1.319047e+01	4.996493e+02
1.2           	-1.288679e+01	4.996067e+02
1.4           	-1.284860e+01	4.995646e+02
1.6           	-1.293482e+01	4.995220e+02
1.8           	-1.292607e+01	4.994794e+02
2             	-1.284335e+01	4.994371e+02
2.2           	-1.275855e+01	4.993951e+02
2.4           	-1.266885e+01	4.993533e+02
2.6           	-1.255557e+01	4.993120e+02
2.8           	-1.243549e+01	4.992711e+02
3             	-1.232121e+01	4.992305e+02
