# Wall heat-flux
# Time        	patch         	min           	max           	integral      
1             	maxY	0.000000e+00	0.000000e+00	0.000000e+00
1             	minX	0.000000e+00	0.000000e+00	0.000000e+00
1             	maxX	0.000000e+00	0.000000e+00	0.000000e+00
1             	minY	0.000000e+00	0.000000e+00	0.000000e+00
1             	minZ	0.000000e+00	0.000000e+00	0.000000e+00
1             	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
1             	air_to_sphere	6.453620e+02	3.351959e+03	7.452257e+00
1.2           	maxY	0.000000e+00	0.000000e+00	0.000000e+00
1.2           	minX	0.000000e+00	0.000000e+00	0.000000e+00
1.2           	maxX	0.000000e+00	0.000000e+00	0.000000e+00
1.2           	minY	0.000000e+00	0.000000e+00	0.000000e+00
1.2           	minZ	0.000000e+00	0.000000e+00	0.000000e+00
1.2           	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
1.2           	air_to_sphere	6.077740e+02	3.259470e+03	7.279152e+00
1.4           	maxY	0.000000e+00	0.000000e+00	0.000000e+00
1.4           	minX	0.000000e+00	0.000000e+00	0.000000e+00
1.4           	maxX	0.000000e+00	0.000000e+00	0.000000e+00
1.4           	minY	0.000000e+00	0.000000e+00	0.000000e+00
1.4           	minZ	0.000000e+00	0.000000e+00	0.000000e+00
1.4           	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
1.4           	air_to_sphere	6.227601e+02	3.313997e+03	7.256043e+00
1.6           	maxY	0.000000e+00	0.000000e+00	0.000000e+00
1.6           	minX	0.000000e+00	0.000000e+00	0.000000e+00
1.6           	maxX	0.000000e+00	0.000000e+00	0.000000e+00
1.6           	minY	0.000000e+00	0.000000e+00	0.000000e+00
1.6           	minZ	0.000000e+00	0.000000e+00	0.000000e+00
1.6           	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
1.6           	air_to_sphere	5.805232e+02	3.398824e+03	7.303166e+00
1.8           	maxY	0.000000e+00	0.000000e+00	0.000000e+00
1.8           	minX	0.000000e+00	0.000000e+00	0.000000e+00
1.8           	maxX	0.000000e+00	0.000000e+00	0.000000e+00
1.8           	minY	0.000000e+00	0.000000e+00	0.000000e+00
1.8           	minZ	0.000000e+00	0.000000e+00	0.000000e+00
1.8           	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
1.8           	air_to_sphere	5.730642e+02	3.368793e+03	7.296672e+00
2             	maxY	0.000000e+00	0.000000e+00	0.000000e+00
2             	minX	0.000000e+00	0.000000e+00	0.000000e+00
2             	maxX	0.000000e+00	0.000000e+00	0.000000e+00
2             	minY	0.000000e+00	0.000000e+00	0.000000e+00
2             	minZ	0.000000e+00	0.000000e+00	0.000000e+00
2             	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
2             	air_to_sphere	5.722530e+02	3.341458e+03	7.248440e+00
2.2           	maxY	0.000000e+00	0.000000e+00	0.000000e+00
2.2           	minX	0.000000e+00	0.000000e+00	0.000000e+00
2.2           	maxX	0.000000e+00	0.000000e+00	0.000000e+00
2.2           	minY	0.000000e+00	0.000000e+00	0.000000e+00
2.2           	minZ	0.000000e+00	0.000000e+00	0.000000e+00
2.2           	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
2.2           	air_to_sphere	5.711256e+02	3.319739e+03	7.199066e+00
2.4           	maxY	0.000000e+00	0.000000e+00	0.000000e+00
2.4           	minX	0.000000e+00	0.000000e+00	0.000000e+00
2.4           	maxX	0.000000e+00	0.000000e+00	0.000000e+00
2.4           	minY	0.000000e+00	0.000000e+00	0.000000e+00
2.4           	minZ	0.000000e+00	0.000000e+00	0.000000e+00
2.4           	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
2.4           	air_to_sphere	5.660541e+02	3.305277e+03	7.146956e+00
2.6           	maxY	0.000000e+00	0.000000e+00	0.000000e+00
2.6           	minX	0.000000e+00	0.000000e+00	0.000000e+00
2.6           	maxX	0.000000e+00	0.000000e+00	0.000000e+00
2.6           	minY	0.000000e+00	0.000000e+00	0.000000e+00
2.6           	minZ	0.000000e+00	0.000000e+00	0.000000e+00
2.6           	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
2.6           	air_to_sphere	5.604958e+02	3.290912e+03	7.081578e+00
2.8           	maxY	0.000000e+00	0.000000e+00	0.000000e+00
2.8           	minX	0.000000e+00	0.000000e+00	0.000000e+00
2.8           	maxX	0.000000e+00	0.000000e+00	0.000000e+00
2.8           	minY	0.000000e+00	0.000000e+00	0.000000e+00
2.8           	minZ	0.000000e+00	0.000000e+00	0.000000e+00
2.8           	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
2.8           	air_to_sphere	5.544834e+02	3.248693e+03	7.012409e+00
3             	maxY	0.000000e+00	0.000000e+00	0.000000e+00
3             	minX	0.000000e+00	0.000000e+00	0.000000e+00
3             	maxX	0.000000e+00	0.000000e+00	0.000000e+00
3             	minY	0.000000e+00	0.000000e+00	0.000000e+00
3             	minZ	0.000000e+00	0.000000e+00	0.000000e+00
3             	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
3             	air_to_sphere	5.494542e+02	3.217167e+03	6.946553e+00
